,Date,Colombo,Gampaha,Puttalam,Kalutara,Anuradhapura,Kandy,Kurunegala,Polonnaruwa,Jaffna,Ratnapura,Kegalle,Moneragala,Kalmunai,Matale,Galle,Ampara,Badulla,Matara,Batticoloa,Hambantota,Vavunia,Trincomalee,Nuwaraeliya,Kilinochchi,Mannar,Mullativu
96,07-06,26,10,2,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
97,07-07,12,15,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
98,07-08,24,17,2,1,1,0,0,3,0,0,0,3,0,0,0,0,2,0,1,0,1,0,0,0,0,0
99,07-09,25,8,4,1,0,0,0,2,0,0,0,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0
100,07-10,23,3,4,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
101,07-11,17,12,6,3,10,1,0,11,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0
102,07-12,37,13,13,2,17,0,4,7,1,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
103,07-13,41,13,15,0,22,0,2,9,4,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0
104,07-14,38,18,14,3,24,0,5,10,2,0,0,0,0,0,1,0,2,0,2,0,1,0,0,0,0,0
105,07-15,43,27,21,2,19,4,5,9,0,0,0,2,0,0,1,0,3,2,6,0,4,0,0,0,0,0
106,07-16,70,26,22,2,16,4,12,7,0,0,0,2,0,0,1,0,0,1,2,0,3,0,0,0,0,0
107,07-17,26,20,5,2,18,4,5,10,0,0,0,1,0,0,2,0,2,1,1,0,2,0,0,0,0,0
108,07-18,44,22,12,0,11,0,4,7,0,3,0,1,0,0,1,0,2,1,2,0,1,0,0,0,0,0
109,07-19,45,24,15,1,6,0,2,9,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0
110,07-20,54,23,12,0,7,0,2,11,1,0,0,1,0,0,1,0,2,2,1,0,0,0,0,0,0,0
111,07-21,44,20,12,0,0,0,0,6,1,2,0,1,0,0,1,0,1,3,1,0,0,0,0,0,0,0
112,07-22,53,23,14,0,0,0,1,6,0,0,0,2,0,0,2,0,0,3,1,0,0,0,0,0,0,0
113,07-23,56,20,12,0,3,0,3,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
114,07-24,41,4,9,1,0,0,3,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
115,07-25,45,9,21,1,3,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
116,07-26,39,11,8,1,8,0,1,3,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
117,07-27,49,12,8,1,0,0,1,3,1,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0
118,07-28,33,7,7,1,6,1,2,3,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0
119,07-29,42,14,15,1,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0
120,07-30,43,11,8,1,9,0,0,1,1,0,0,0,0,0,6,0,0,0,2,0,4,0,0,0,0,0
121,07-31,25,11,5,1,0,0,2,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
122,08-01,21,12,8,2,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
123,08-02,22,11,4,0,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0
124,08-03,21,9,2,1,4,0,1,7,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0
125,08-06,43,10,4,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
126,08-07,21,4,2,0,1,0,3,4,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0
127,08-08,28,11,1,2,0,0,1,5,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0
128,08-09,29,11,7,2,1,0,1,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
129,08-10,40,11,8,0,1,0,2,3,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0
130,08-11,22,10,9,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
