,Date,Colombo,Gampaha,Puttalam,Kalutara,Anuradhapura,Kandy,Kurunegala,Polonnaruwa,Jaffna,Ratnapura,Kegalle,Moneragala,Kalmunai,Matale,Galle,Ampara,Badulla,Matara,Batticoloa,Hambantota,Vavunia,Trincomalee,Nuwaraeliya,Kilinochchi,Mannar,Mullativu
68,06-07,1,0,0,1,2,0,1,1,2,0,0,0,0,0,21,21,1,2,0,2,0,0,0,0,0,0
69,06-08,1,0,0,1,2,0,1,1,2,0,0,0,0,0,21,21,1,2,0,2,0,0,0,0,0,0
70,06-09,1,0,0,1,2,0,1,1,2,0,0,0,0,0,21,21,1,2,0,2,0,0,0,0,0,0
71,06-10,1,0,0,1,2,0,1,1,2,0,0,0,0,0,21,21,1,2,0,2,0,0,0,0,0,0
72,06-11,1,0,0,1,2,0,1,1,2,0,0,0,0,0,21,21,1,2,0,2,0,0,0,0,0,0
73,06-12,1,0,0,1,2,0,1,1,2,0,0,0,0,0,21,21,1,2,0,2,0,0,0,0,0,0
74,06-13,1,0,0,1,2,0,1,1,2,0,0,0,0,0,21,21,1,2,0,2,0,0,0,0,0,0
75,06-14,1,0,0,1,2,0,1,1,2,0,0,0,0,0,21,21,1,2,0,2,0,0,0,0,0,0
76,06-15,1,0,0,1,2,0,1,1,2,0,0,0,0,0,21,21,1,2,0,2,0,0,0,0,0,0
77,06-16,1,0,0,1,2,0,1,1,2,0,0,0,0,0,21,21,1,2,0,2,0,0,0,0,0,0
78,06-18,1,0,0,1,2,0,1,1,2,0,0,0,0,0,21,21,1,2,0,2,0,0,0,0,0,0
79,06-19,1,0,0,1,2,0,1,1,2,0,0,0,0,0,21,21,1,2,0,2,0,0,0,0,0,0
80,06-20,1,0,0,1,2,0,1,1,2,0,0,0,0,0,21,21,1,2,0,2,0,0,0,0,0,0
81,06-21,1,0,0,1,2,0,1,1,2,0,0,0,0,0,21,21,1,2,0,2,0,0,0,0,0,0
82,06-22,1,0,0,1,2,0,1,1,2,0,0,0,0,0,21,21,1,2,0,2,0,0,0,0,0,0
83,06-23,1,0,0,1,2,0,1,1,2,0,0,0,0,0,21,21,1,2,0,2,0,0,0,0,0,0
84,06-24,1,0,0,1,2,0,1,1,2,0,0,0,0,0,21,21,1,2,0,2,0,0,0,0,0,0
85,06-25,1,0,0,1,2,0,1,1,2,0,0,0,0,0,24,24,1,2,0,2,0,0,0,0,0,0
86,06-26,1,0,0,1,2,0,1,1,2,0,0,0,0,0,24,24,1,2,0,2,0,0,0,0,0,0
87,06-27,1,0,0,1,2,0,1,1,2,0,0,0,0,0,24,24,1,2,0,2,0,0,0,0,0,0
88,06-28,1,0,0,1,2,0,1,1,2,0,0,0,0,0,24,24,1,2,0,2,0,0,0,0,0,0
89,06-29,1,0,0,1,2,0,1,1,2,0,0,0,0,0,24,24,1,2,0,2,0,0,0,0,0,0
90,06-30,1,0,0,1,2,0,1,1,2,0,0,0,0,0,24,24,1,2,0,2,0,0,0,0,0,0
91,07-01,1,0,0,1,2,0,1,1,2,0,0,0,0,0,24,24,1,2,0,2,0,0,0,0,0,0
92,07-02,1,0,0,1,2,0,1,1,2,0,0,0,0,0,24,24,1,2,0,2,0,0,0,0,0,0
93,07-03,1,0,0,1,2,0,1,1,2,0,0,0,0,0,24,24,1,2,0,2,0,0,0,0,0,0
94,07-04,1,0,0,1,2,0,1,1,2,0,0,0,0,0,24,24,1,2,0,2,0,0,0,0,0,0
95,07-05,1,0,0,1,2,0,1,1,2,0,0,0,0,0,24,24,1,2,0,2,0,0,0,0,0,0
96,07-06,1,0,0,1,2,0,1,1,2,0,0,0,0,0,24,24,1,2,0,2,0,0,0,0,0,0
97,07-07,1,0,0,1,2,0,1,1,2,0,0,0,0,0,24,24,1,2,0,2,0,0,0,0,0,0
98,07-08,1,0,0,1,2,0,1,1,2,0,0,0,0,0,24,24,1,2,0,2,0,0,0,0,0,0
99,07-09,1,0,0,1,2,0,1,1,2,0,0,0,0,0,24,24,1,2,0,2,0,0,0,0,0,0
100,07-10,2,0,0,1,2,0,1,1,2,0,0,0,0,0,24,24,1,2,0,2,0,0,0,0,0,0
101,07-11,2,0,0,1,2,0,1,1,2,0,0,0,0,0,24,24,1,2,0,2,0,0,0,0,0,0
102,07-12,2,0,0,1,2,0,1,1,2,0,0,0,0,0,24,24,1,2,0,2,0,0,0,0,0,0
103,07-13,2,0,0,1,2,0,1,1,2,0,0,0,0,0,24,24,1,2,0,2,0,0,0,0,0,0
104,07-14,2,0,0,1,2,0,1,1,2,0,0,0,0,0,24,24,1,2,0,2,0,0,0,0,0,0
105,07-15,2,0,0,1,2,0,1,1,2,0,0,0,0,0,24,24,1,0,0,2,0,0,0,0,0,0
106,07-16,2,0,0,1,2,0,1,1,2,0,0,0,0,0,24,24,1,0,0,2,0,0,0,0,0,0
107,07-17,2,0,0,1,2,0,1,1,2,0,0,0,0,0,24,24,1,0,0,2,0,0,0,0,0,0
108,07-18,2,0,0,1,2,0,1,1,2,0,0,0,0,0,24,24,1,0,0,2,0,0,0,0,0,0
109,07-19,2,0,0,1,2,0,1,1,2,0,0,0,0,0,24,24,1,0,0,2,0,0,0,0,0,0
110,07-20,2,0,0,1,2,0,1,1,2,0,0,0,0,0,24,24,1,0,0,2,0,0,0,0,0,0
111,07-21,2,0,0,1,2,0,1,1,2,0,0,0,0,0,24,24,1,0,0,2,0,0,0,0,0,0
112,07-22,2,0,0,1,2,0,1,1,2,0,0,0,0,0,24,24,1,0,0,2,0,0,0,0,0,0
113,07-23,2,0,0,1,2,0,1,1,2,0,0,0,0,0,24,24,1,0,0,2,0,0,0,0,0,0
114,07-24,2,0,0,1,2,0,1,1,2,0,0,0,0,0,24,24,1,0,0,2,0,0,0,0,0,0
115,07-25,2,0,0,1,2,0,1,1,2,0,0,0,0,0,24,24,1,0,0,2,0,0,0,0,0,0
116,07-26,2,0,0,1,2,0,1,1,2,0,0,0,0,0,24,24,1,0,0,2,0,0,0,0,0,0
117,07-27,2,0,0,1,2,0,1,1,2,0,0,0,0,0,24,24,1,0,0,2,0,0,0,0,0,0
118,07-28,2,0,0,1,2,0,1,1,2,0,0,0,0,0,24,24,1,0,0,2,0,0,0,0,0,0
119,07-29,2,0,0,1,2,0,1,1,2,0,0,0,0,0,24,24,1,0,0,2,0,0,0,0,0,0
120,07-30,2,0,0,1,2,0,1,1,2,0,0,0,0,0,24,24,1,0,0,2,0,0,0,0,0,0
121,07-31,2,0,0,1,2,0,1,1,2,0,0,0,0,0,24,24,1,0,0,2,0,0,0,0,0,0
122,08-01,2,0,0,1,2,0,1,1,2,0,0,0,0,0,24,24,1,0,0,2,0,0,0,0,0,0
123,08-02,2,0,0,1,2,0,1,1,2,0,0,0,0,0,24,24,1,0,0,2,0,0,0,0,0,0
124,08-03,2,0,0,1,2,0,1,1,2,0,0,0,0,0,24,24,1,0,0,2,0,0,0,0,0,0
125,08-06,2,0,0,1,2,0,1,1,2,0,0,0,0,0,24,24,1,0,0,2,0,0,0,0,0,0
126,08-07,2,0,0,1,2,0,1,1,2,0,0,0,0,0,24,24,1,0,0,2,0,0,0,0,0,0
127,08-08,2,0,0,2,2,0,1,1,2,0,0,0,0,0,24,24,1,0,0,2,0,0,0,0,0,0
128,08-09,2,0,0,2,2,0,1,1,2,0,0,0,0,0,24,24,1,0,0,2,0,0,0,0,0,0
129,08-10,2,1,0,2,2,0,1,1,2,0,0,0,0,0,24,24,1,0,0,2,0,0,0,0,0,0
130,08-11,2,1,0,2,2,0,1,1,2,0,0,0,0,0,24,24,1,0,0,2,0,0,0,0,0,0
131,08-12,2,1,0,2,2,0,1,1,2,0,0,0,0,0,24,24,1,0,0,2,0,0,0,0,0,0
132,08-13,2,1,0,2,2,0,1,1,2,0,0,0,0,0,24,24,1,0,0,2,0,0,0,0,0,0
133,08-14,2,1,0,2,2,0,1,1,2,0,0,0,0,0,24,24,1,0,0,2,0,0,0,0,0,0
134,08-15,2,1,0,2,2,0,1,1,2,0,0,0,0,0,24,24,2,0,0,2,0,0,0,0,0,0
135,08-16,2,1,0,2,2,0,1,1,2,0,0,0,0,0,24,24,2,0,0,2,0,0,0,0,0,0
136,08-17,2,1,0,2,2,0,1,1,2,0,0,0,0,0,24,24,2,0,0,2,0,0,0,0,0,0
137,08-18,2,1,0,2,2,6,1,1,2,0,0,0,0,0,24,24,2,2,0,2,0,0,0,0,0,0
138,08-19,2,1,0,2,2,6,1,1,2,0,0,0,0,0,24,24,2,2,0,2,0,0,0,0,0,0
139,08-20,2,2,0,2,2,6,1,1,2,0,0,0,0,0,24,24,2,2,0,2,0,0,0,0,0,0
140,08-21,2,2,0,2,2,6,1,1,2,0,0,0,0,0,24,24,2,2,0,2,0,0,0,0,0,0
141,08-22,2,2,0,2,2,6,1,1,2,0,0,0,0,0,25,25,2,2,0,2,0,0,0,0,0,0
142,08-23,2,2,0,2,2,6,1,1,2,0,0,0,0,0,25,25,2,2,0,2,0,0,0,0,0,0
143,08-24,2,2,0,2,2,6,1,1,2,0,0,0,0,0,25,25,2,2,0,2,0,0,0,0,0,0
144,08-25,2,2,0,2,2,6,1,1,2,0,0,0,0,0,25,25,2,2,0,2,0,0,0,0,0,0
145,08-26,2,2,0,2,2,6,1,1,2,0,0,0,0,0,25,25,2,2,0,2,0,0,0,0,0,0
146,08-27,2,2,0,2,2,6,1,1,2,0,0,0,0,0,25,25,2,2,0,2,0,0,0,0,0,0
147,08-28,2,2,0,2,2,6,1,1,2,0,0,0,0,0,25,25,2,2,0,2,0,0,0,0,0,0
148,08-29,2,2,0,2,2,6,1,1,2,0,0,0,0,0,25,25,2,2,0,2,0,0,0,0,0,0
149,08-31,2,2,0,2,2,6,1,1,2,0,0,0,0,0,25,25,2,2,0,2,0,0,0,0,0,0
150,09-01,2,2,0,2,2,6,1,1,2,0,0,0,0,0,25,25,2,2,0,2,0,0,0,0,0,0
151,09-02,2,2,0,2,2,6,1,1,2,0,0,0,0,0,25,25,2,2,0,2,0,0,0,0,0,0
152,09-03,2,2,0,2,2,6,1,1,2,0,0,0,0,0,25,25,2,2,0,2,0,0,0,0,0,0
153,09-04,2,2,0,2,2,6,1,1,2,0,0,0,0,0,25,25,2,2,0,2,0,0,0,0,0,0
