,Date,Colombo,Gampaha,Puttalam,Kalutara,Anuradhapura,Kandy,Kurunegala,Polonnaruwa,Jaffna,Ratnapura,Kegalle,Moneragala,Kalmunai,Matale,Galle,Ampara,Badulla,Matara,Batticoloa,Hambantota,Vavunia,Trincomalee,Nuwaraeliya,Kilinochchi,Mannar,Mullativu
111,07-21,18,3,1,0,0,0,0,0,1,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
112,07-22,24,8,1,0,0,0,1,0,0,0,0,2,2,2,2,2,0,1,1,0,0,0,0,0,0,0
113,07-23,21,8,1,0,3,0,3,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
114,07-24,6,2,1,1,0,0,3,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
115,07-25,12,5,0,1,3,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
116,07-26,22,7,0,1,8,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
117,07-27,18,5,1,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,2,2,2,2,2,2
118,07-28,6,2,1,1,6,1,2,0,0,0,0,2,2,2,0,0,0,0,0,0,2,2,2,2,2,2
119,07-29,20,4,1,1,0,0,2,0,0,0,0,2,2,2,0,0,0,0,0,0,2,2,2,2,2,2
120,07-30,28,3,1,1,9,0,0,0,1,0,0,0,0,0,6,6,0,0,2,0,4,4,4,4,4,4
121,07-31,12,5,1,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1
122,08-01,9,8,3,2,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1
123,08-02,9,9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3,3,3,3,3
124,08-03,12,9,0,1,4,0,1,0,0,0,0,4,4,4,0,0,0,0,0,0,1,1,1,1,1,1
125,08-06,18,4,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
126,08-07,7,4,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,2,2,2,2,2,2
127,08-08,13,7,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,1,1,1
128,08-09,18,6,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
129,08-10,17,5,1,0,1,0,2,1,2,0,0,0,0,0,0,0,0,0,1,0,2,2,2,2,2,2
130,08-11,13,7,3,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2
131,08-12,15,6,1,0,0,0,1,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
132,08-13,15,4,1,0,2,0,0,1,0,0,0,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0
133,08-14,9,6,0,0,2,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,08-15,8,7,0,3,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
135,08-16,23,5,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
136,08-17,13,10,0,0,1,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
137,08-18,23,7,0,0,0,0,4,0,0,1,1,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0
138,08-19,27,4,1,0,1,0,4,0,2,0,0,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0
139,08-20,19,9,1,7,1,0,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
140,08-21,7,2,1,7,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
141,08-22,15,4,1,1,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0
142,08-23,12,8,2,1,0,0,1,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0
143,08-24,8,4,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
144,08-25,15,5,0,1,1,0,1,0,1,0,0,4,4,4,0,0,0,2,2,0,0,0,0,0,0,0
145,08-26,11,6,0,1,0,0,0,0,1,0,0,4,4,4,0,0,0,1,2,0,0,0,0,0,0,0
146,08-27,18,3,1,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,2,0,0,0,0,0,0,0
147,08-28,3,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,2,0,0,0,0,0,0,0
148,08-29,12,5,1,1,0,0,0,1,1,0,0,1,1,1,1,1,0,1,2,0,0,0,0,0,0,0
149,08-31,4,4,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
150,09-01,14,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
151,09-02,16,9,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
152,09-03,18,2,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0
153,09-04,2,2,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
154,09-05,7,3,0,2,0,0,1,1,4,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0
155,09-06,13,8,0,3,0,2,1,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0
156,09-07,6,5,0,3,0,2,0,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
157,09-08,9,6,0,3,0,0,0,2,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0
158,09-09,14,11,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
159,09-10,19,4,0,2,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
160,09-11,4,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
161,09-12,4,2,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,5,0,0,0,0,0,0,0
162,09-13,14,7,0,0,0,1,0,0,0,0,0,2,2,2,0,0,0,0,2,0,0,0,0,0,0,0
163,09-14,5,5,0,0,0,1,0,7,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
164,09-15,11,3,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
