,ID,Date,District,Suspected_Local,Suspected_Foreign,Suspected_Total,TotalInfected
9,0408_Ratnapura,04-08,Ratnapura,9,0,9,3
10,0408_Kegalle,04-08,Kegalle,0,0,0,1
11,0408_Moneragala,04-08,Moneragala,3,0,3,0
12,0408_Kalmunai,04-08,Kalmunai,0,0,0,0
13,0408_Matale,04-08,Matale,0,0,0,0
14,0408_Galle,04-08,Galle,4,0,4,1
15,0408_Ampara,04-08,Ampara,0,0,0,0
16,0408_Badulla,04-08,Badulla,1,0,1,1
17,0408_Matara,04-08,Matara,2,0,2,2
18,0408_Batticoloa,04-08,Batticoloa,0,0,0,1
19,0408_Hambantota,04-08,Hambantota,7,0,7,0
20,0408_Vavunia,04-08,Vavunia,0,0,0,0
21,0408_Trincomalee,04-08,Trincomalee,0,0,0,0
22,0408_Nuwaraeliya,04-08,Nuwaraeliya,0,0,0,0
23,0408_Kilinochchi,04-08,Kilinochchi,0,0,0,0
24,0408_Mannar,04-08,Mannar,0,0,0,0
25,0408_Mullativu,04-08,Mullativu,0,0,0,0
0,0409_Colombo,04-09,Colombo,36,0,36,44
1,0409_Gampaha,04-09,Gampaha,52,0,52,16
2,0409_Puttalam,04-09,Puttalam,6,0,6,34
3,0409_Kalutara,04-09,Kalutara,16,0,16,26
4,0409_Anuradhapura,04-09,Anuradhapura,1,0,1,0
5,0409_Kandy,04-09,Kandy,5,0,5,7
6,0409_Kurunegala,04-09,Kurunegala,15,0,15,3
7,0409_Polonnaruwa,04-09,Polonnaruwa,24,0,24,0
8,0409_Jaffna,04-09,Jaffna,3,0,3,7
9,0409_Ratnapura,04-09,Ratnapura,10,0,10,5
10,0409_Kegalle,04-09,Kegalle,0,0,0,1
11,0409_Moneragala,04-09,Moneragala,3,0,3,0
12,0409_Kalmunai,04-09,Kalmunai,0,0,0,1
13,0409_Matale,04-09,Matale,0,0,0,0
14,0409_Galle,04-09,Galle,5,0,5,1
15,0409_Ampara,04-09,Ampara,0,0,0,0
16,0409_Badulla,04-09,Badulla,3,0,3,1
17,0409_Matara,04-09,Matara,5,0,5,2
18,0409_Batticoloa,04-09,Batticoloa,0,0,0,1
19,0409_Hambantota,04-09,Hambantota,5,0,5,0
20,0409_Vavunia,04-09,Vavunia,5,0,5,0
21,0409_Trincomalee,04-09,Trincomalee,0,0,0,0
22,0409_Nuwaraeliya,04-09,Nuwaraeliya,0,0,0,0
23,0409_Kilinochchi,04-09,Kilinochchi,0,0,0,0
24,0409_Mannar,04-09,Mannar,0,0,0,0
25,0409_Mullativu,04-09,Mullativu,0,0,0,0
0,0410_Colombo,04-10,Colombo,51,0,51,44
1,0410_Gampaha,04-10,Gampaha,34,0,34,16
2,0410_Puttalam,04-10,Puttalam,2,0,2,34
3,0410_Kalutara,04-10,Kalutara,21,0,21,27
4,0410_Anuradhapura,04-10,Anuradhapura,4,0,4,0
5,0410_Kandy,04-10,Kandy,0,0,0,7
6,0410_Kurunegala,04-10,Kurunegala,12,0,12,3
7,0410_Polonnaruwa,04-10,Polonnaruwa,23,0,23,0
8,0410_Jaffna,04-10,Jaffna,1,1,2,7
9,0410_Ratnapura,04-10,Ratnapura,21,0,21,5
10,0410_Kegalle,04-10,Kegalle,0,0,0,1
11,0410_Moneragala,04-10,Moneragala,4,0,4,0
12,0410_Kalmunai,04-10,Kalmunai,0,0,0,1
13,0410_Matale,04-10,Matale,0,0,0,0
14,0410_Galle,04-10,Galle,5,0,5,1
15,0410_Ampara,04-10,Ampara,0,0,0,0
16,0410_Badulla,04-10,Badulla,0,0,0,1
17,0410_Matara,04-10,Matara,4,0,4,2
18,0410_Batticoloa,04-10,Batticoloa,0,0,0,1
19,0410_Hambantota,04-10,Hambantota,4,0,4,0
20,0410_Vavunia,04-10,Vavunia,1,0,1,0
21,0410_Trincomalee,04-10,Trincomalee,0,0,0,0
22,0410_Nuwaraeliya,04-10,Nuwaraeliya,0,0,0,0
23,0410_Kilinochchi,04-10,Kilinochchi,0,0,0,0
24,0410_Mannar,04-10,Mannar,0,0,0,0
25,0410_Mullativu,04-10,Mullativu,0,0,0,0
0,0411_Colombo,04-11,Colombo,48,0,48,45
1,0411_Gampaha,04-11,Gampaha,27,0,27,22
2,0411_Puttalam,04-11,Puttalam,1,0,1,34
3,0411_Kalutara,04-11,Kalutara,8,0,8,27
4,0411_Anuradhapura,04-11,Anuradhapura,1,0,1,0
5,0411_Kandy,04-11,Kandy,2,0,2,7
6,0411_Kurunegala,04-11,Kurunegala,3,0,3,3
7,0411_Polonnaruwa,04-11,Polonnaruwa,24,0,24,0
8,0411_Jaffna,04-11,Jaffna,0,0,0,7
9,0411_Ratnapura,04-11,Ratnapura,18,0,18,5
10,0411_Kegalle,04-11,Kegalle,0,0,0,1
11,0411_Moneragala,04-11,Moneragala,1,0,1,0
12,0411_Kalmunai,04-11,Kalmunai,0,0,0,1
13,0411_Matale,04-11,Matale,0,0,0,0
14,0411_Galle,04-11,Galle,0,0,0,1
15,0411_Ampara,04-11,Ampara,0,0,0,0
